Inference - 2021-07-09 19:15:28
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_OCLR_S3
n_seq: 3
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
> 720p_240fps_2-00001 PSNR=32.997, SSIM=0.9293 pre_time:0.25s, forward_time:6.02s, post_time:1.76s, total_time:8.04s
> 720p_240fps_2-00002 PSNR=32.871, SSIM=0.9361 pre_time:0.14s, forward_time:0.271s, post_time:2.0s, total_time:2.41s
> 720p_240fps_2-00003 PSNR=34.655, SSIM=0.9496 pre_time:0.154s, forward_time:0.281s, post_time:1.97s, total_time:2.41s
> 720p_240fps_2-00004 PSNR=33.104, SSIM=0.9374 pre_time:0.174s, forward_time:0.277s, post_time:2.08s, total_time:2.53s
> 720p_240fps_2-00005 PSNR=34.314, SSIM=0.945 pre_time:0.149s, forward_time:0.277s, post_time:2.01s, total_time:2.43s
> 720p_240fps_2-00006 PSNR=36.328, SSIM=0.9573 pre_time:0.161s, forward_time:0.28s, post_time:2.0s, total_time:2.44s
> 720p_240fps_2-00007 PSNR=33.743, SSIM=0.9374 pre_time:0.143s, forward_time:0.268s, post_time:1.95s, total_time:2.37s
> 720p_240fps_2-00008 PSNR=32.439, SSIM=0.9213 pre_time:0.145s, forward_time:0.267s, post_time:2.0s, total_time:2.41s
> 720p_240fps_2-00009 PSNR=32.773, SSIM=0.9229 pre_time:0.141s, forward_time:0.276s, post_time:1.97s, total_time:2.38s
> 720p_240fps_2-00010 PSNR=33.477, SSIM=0.9326 pre_time:0.155s, forward_time:0.279s, post_time:2.02s, total_time:2.46s
> 720p_240fps_2-00011 PSNR=34.424, SSIM=0.9438 pre_time:0.163s, forward_time:0.269s, post_time:1.98s, total_time:2.41s
> 720p_240fps_2-00012 PSNR=35.145, SSIM=0.9478 pre_time:0.151s, forward_time:0.261s, post_time:1.98s, total_time:2.4s
