Inference - 2021-07-10 01:06:46
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_S7
n_seq: 7
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
> 720p_240fps_2-00003 PSNR=34.753, SSIM=0.9511 pre_time:1.12s, forward_time:9.71s, post_time:2.7s, total_time:13.5s
> 720p_240fps_2-00004 PSNR=33.515, SSIM=0.9416 pre_time:0.436s, forward_time:4.98s, post_time:2.29s, total_time:7.71s
> 720p_240fps_2-00005 PSNR=34.864, SSIM=0.9493 pre_time:0.431s, forward_time:4.99s, post_time:2.18s, total_time:7.6s
> 720p_240fps_2-00006 PSNR=36.022, SSIM=0.9557 pre_time:0.484s, forward_time:5.02s, post_time:2.27s, total_time:7.77s
> 720p_240fps_2-00007 PSNR=34.571, SSIM=0.945 pre_time:0.48s, forward_time:5.02s, post_time:2.25s, total_time:7.75s
> 720p_240fps_2-00008 PSNR=33.266, SSIM=0.9331 pre_time:0.43s, forward_time:5.04s, post_time:2.23s, total_time:7.71s
> 720p_240fps_2-00009 PSNR=33.562, SSIM=0.935 pre_time:0.474s, forward_time:5.08s, post_time:2.22s, total_time:7.77s
> 720p_240fps_2-00010 PSNR=33.989, SSIM=0.9382 pre_time:0.476s, forward_time:5.01s, post_time:2.2s, total_time:7.68s
> 720p_240fps_2-00011 PSNR=35.159, SSIM=0.9497 pre_time:0.421s, forward_time:4.97s, post_time:2.26s, total_time:7.65s
> 720p_240fps_2-00012 PSNR=35.46, SSIM=0.9511 pre_time:0.387s, forward_time:5.03s, post_time:2.31s, total_time:7.73s
> 720p_240fps_2-00013 PSNR=33.719, SSIM=0.9394 pre_time:0.46s, forward_time:5.04s, post_time:2.29s, total_time:7.79s
> 720p_240fps_2-00014 PSNR=35.144, SSIM=0.9472 pre_time:0.427s, forward_time:5.02s, post_time:2.24s, total_time:7.69s
> 720p_240fps_2-00015 PSNR=34.027, SSIM=0.9393 pre_time:0.431s, forward_time:5.05s, post_time:2.23s, total_time:7.71s
> 720p_240fps_2-00016 PSNR=33.638, SSIM=0.9373 pre_time:0.403s, forward_time:5.02s, post_time:2.38s, total_time:7.8s
> 720p_240fps_2-00017 PSNR=32.337, SSIM=0.9287 pre_time:0.452s, forward_time:5.0s, post_time:2.25s, total_time:7.7s
> 720p_240fps_2-00018 PSNR=35.433, SSIM=0.9536 pre_time:0.449s, forward_time:5.08s, post_time:2.27s, total_time:7.8s
