Inference - 2020-08-05 10:46:56
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_DVD_Convergent.pt
data_path: ../dataset/DVD/test
result_path: ../infer_results/DVD
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_DVD_Convergent.pt
> 720p_240fps_2-00002 PSNR=34.134, SSIM=0.9487 pre_time:0.199s, forward_time:2.14s, post_time:1.18s, total_time:3.52s
> 720p_240fps_2-00003 PSNR=35.293, SSIM=0.9541 pre_time:0.108s, forward_time:2.0s, post_time:1.16s, total_time:3.26s
> 720p_240fps_2-00004 PSNR=34.1, SSIM=0.9469 pre_time:0.126s, forward_time:2.0s, post_time:1.17s, total_time:3.3s
> 720p_240fps_2-00005 PSNR=35.358, SSIM=0.9524 pre_time:0.127s, forward_time:2.0s, post_time:1.17s, total_time:3.3s
> 720p_240fps_2-00006 PSNR=36.702, SSIM=0.9593 pre_time:0.127s, forward_time:2.01s, post_time:1.18s, total_time:3.31s
> 720p_240fps_2-00007 PSNR=35.203, SSIM=0.9497 pre_time:0.126s, forward_time:2.01s, post_time:1.17s, total_time:3.31s
> 720p_240fps_2-00008 PSNR=33.934, SSIM=0.9387 pre_time:0.127s, forward_time:2.01s, post_time:1.17s, total_time:3.3s
> 720p_240fps_2-00009 PSNR=34.121, SSIM=0.9388 pre_time:0.128s, forward_time:2.0s, post_time:1.16s, total_time:3.29s
> 720p_240fps_2-00010 PSNR=34.733, SSIM=0.9437 pre_time:0.124s, forward_time:2.01s, post_time:1.16s, total_time:3.3s
> 720p_240fps_2-00011 PSNR=35.487, SSIM=0.9518 pre_time:0.124s, forward_time:2.01s, post_time:1.17s, total_time:3.31s
> 720p_240fps_2-00012 PSNR=36.183, SSIM=0.9546 pre_time:0.126s, forward_time:2.02s, post_time:1.18s, total_time:3.33s
> 720p_240fps_2-00013 PSNR=34.281, SSIM=0.9443 pre_time:0.127s, forward_time:2.01s, post_time:1.17s, total_time:3.31s
> 720p_240fps_2-00014 PSNR=35.678, SSIM=0.9506 pre_time:0.124s, forward_time:2.01s, post_time:1.17s, total_time:3.31s
> 720p_240fps_2-00015 PSNR=34.9, SSIM=0.9448 pre_time:0.126s, forward_time:2.02s, post_time:1.17s, total_time:3.32s
> 720p_240fps_2-00016 PSNR=34.068, SSIM=0.9411 pre_time:0.127s, forward_time:2.02s, post_time:1.18s, total_time:3.32s
> 720p_240fps_2-00017 PSNR=32.958, SSIM=0.9355 pre_time:0.126s, forward_time:2.02s, post_time:1.18s, total_time:3.32s
> 720p_240fps_2-00018 PSNR=35.535, SSIM=0.9543 pre_time:0.127s, forward_time:2.02s, post_time:1.17s, total_time:3.32s
> 720p_240fps_2-00019 PSNR=35.457, SSIM=0.9547 pre_time:0.126s, forward_time:2.02s, post_time:1.16s, total_time:3.31s
> 720p_240fps_2-00020 PSNR=35.035, SSIM=0.9467 pre_time:0.131s, forward_time:2.03s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00021 PSNR=34.294, SSIM=0.9409 pre_time:0.127s, forward_time:2.02s, post_time:1.17s, total_time:3.32s
> 720p_240fps_2-00022 PSNR=35.081, SSIM=0.9467 pre_time:0.141s, forward_time:2.02s, post_time:1.18s, total_time:3.34s
> 720p_240fps_2-00023 PSNR=36.298, SSIM=0.9539 pre_time:0.128s, forward_time:2.04s, post_time:1.18s, total_time:3.34s
> 720p_240fps_2-00024 PSNR=38.12, SSIM=0.9643 pre_time:0.137s, forward_time:2.02s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00025 PSNR=35.924, SSIM=0.952 pre_time:0.127s, forward_time:2.03s, post_time:1.18s, total_time:3.34s
> 720p_240fps_2-00026 PSNR=33.192, SSIM=0.9366 pre_time:0.128s, forward_time:2.03s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00027 PSNR=35.512, SSIM=0.9521 pre_time:0.14s, forward_time:2.03s, post_time:1.18s, total_time:3.35s
> 720p_240fps_2-00028 PSNR=34.886, SSIM=0.9434 pre_time:0.127s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> 720p_240fps_2-00029 PSNR=34.892, SSIM=0.9399 pre_time:0.126s, forward_time:2.03s, post_time:1.18s, total_time:3.33s
> 720p_240fps_2-00030 PSNR=33.319, SSIM=0.9309 pre_time:0.126s, forward_time:2.03s, post_time:1.18s, total_time:3.33s
> 720p_240fps_2-00031 PSNR=33.138, SSIM=0.9296 pre_time:0.133s, forward_time:2.03s, post_time:1.17s, total_time:3.34s
> 720p_240fps_2-00032 PSNR=34.548, SSIM=0.9372 pre_time:0.128s, forward_time:2.03s, post_time:1.17s, total_time:3.32s
> 720p_240fps_2-00033 PSNR=32.193, SSIM=0.9173 pre_time:0.108s, forward_time:2.03s, post_time:1.17s, total_time:3.31s
> 720p_240fps_2-00034 PSNR=33.531, SSIM=0.9328 pre_time:0.132s, forward_time:2.02s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00035 PSNR=34.401, SSIM=0.9433 pre_time:0.128s, forward_time:2.03s, post_time:1.18s, total_time:3.34s
