Inference - 2020-08-03 21:27:23
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_GOPRO.pt
data_path: ../dataset/GOPRO/test
result_path: ../infer_results/GOPRO
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_GOPRO.pt
> GOPR0384_11_00-000003 PSNR=32.395, SSIM=0.9281 pre_time:0.252s, forward_time:2.13s, post_time:1.21s, total_time:3.59s
> GOPR0384_11_00-000004 PSNR=30.408, SSIM=0.9124 pre_time:0.226s, forward_time:2.0s, post_time:1.16s, total_time:3.39s
> GOPR0384_11_00-000005 PSNR=33.758, SSIM=0.946 pre_time:0.231s, forward_time:2.03s, post_time:1.17s, total_time:3.43s
> GOPR0384_11_00-000006 PSNR=34.099, SSIM=0.9522 pre_time:0.227s, forward_time:2.02s, post_time:1.17s, total_time:3.42s
> GOPR0384_11_00-000007 PSNR=34.949, SSIM=0.9593 pre_time:0.228s, forward_time:2.01s, post_time:1.18s, total_time:3.42s
> GOPR0384_11_00-000008 PSNR=35.023, SSIM=0.9581 pre_time:0.232s, forward_time:2.01s, post_time:1.17s, total_time:3.41s
> GOPR0384_11_00-000009 PSNR=35.188, SSIM=0.9645 pre_time:0.227s, forward_time:2.02s, post_time:1.17s, total_time:3.42s
> GOPR0384_11_00-000010 PSNR=34.926, SSIM=0.9646 pre_time:0.255s, forward_time:2.02s, post_time:1.16s, total_time:3.44s
> GOPR0384_11_00-000011 PSNR=34.545, SSIM=0.9546 pre_time:0.226s, forward_time:2.02s, post_time:1.18s, total_time:3.42s
> GOPR0384_11_00-000012 PSNR=34.017, SSIM=0.9501 pre_time:0.226s, forward_time:2.02s, post_time:1.16s, total_time:3.41s
> GOPR0384_11_00-000013 PSNR=32.391, SSIM=0.9361 pre_time:0.226s, forward_time:2.03s, post_time:1.18s, total_time:3.43s
> GOPR0384_11_00-000014 PSNR=31.557, SSIM=0.9227 pre_time:0.228s, forward_time:2.02s, post_time:1.17s, total_time:3.42s
> GOPR0384_11_00-000015 PSNR=32.39, SSIM=0.9294 pre_time:0.224s, forward_time:2.02s, post_time:1.17s, total_time:3.42s
> GOPR0384_11_00-000016 PSNR=32.758, SSIM=0.943 pre_time:0.229s, forward_time:2.02s, post_time:1.18s, total_time:3.43s
> GOPR0384_11_00-000017 PSNR=25.906, SSIM=0.8326 pre_time:0.225s, forward_time:2.03s, post_time:1.18s, total_time:3.43s
> GOPR0384_11_00-000018 PSNR=26.758, SSIM=0.8571 pre_time:0.226s, forward_time:2.03s, post_time:1.17s, total_time:3.43s
> GOPR0384_11_00-000019 PSNR=31.61, SSIM=0.9251 pre_time:0.231s, forward_time:2.02s, post_time:1.18s, total_time:3.43s
> GOPR0384_11_00-000020 PSNR=32.26, SSIM=0.941 pre_time:0.228s, forward_time:2.02s, post_time:1.18s, total_time:3.44s
> GOPR0384_11_00-000021 PSNR=33.991, SSIM=0.9518 pre_time:0.226s, forward_time:2.03s, post_time:1.18s, total_time:3.43s
> GOPR0384_11_00-000022 PSNR=34.479, SSIM=0.9524 pre_time:0.229s, forward_time:2.03s, post_time:1.17s, total_time:3.43s
> GOPR0384_11_00-000023 PSNR=35.807, SSIM=0.968 pre_time:0.227s, forward_time:2.02s, post_time:1.16s, total_time:3.41s
> GOPR0384_11_00-000024 PSNR=35.179, SSIM=0.961 pre_time:0.228s, forward_time:2.03s, post_time:1.16s, total_time:3.42s
> GOPR0384_11_00-000025 PSNR=35.254, SSIM=0.9613 pre_time:0.23s, forward_time:2.03s, post_time:1.17s, total_time:3.43s
> GOPR0384_11_00-000026 PSNR=34.264, SSIM=0.9528 pre_time:0.226s, forward_time:2.03s, post_time:1.17s, total_time:3.42s
> GOPR0384_11_00-000027 PSNR=33.783, SSIM=0.9486 pre_time:0.231s, forward_time:2.03s, post_time:1.16s, total_time:3.42s
> GOPR0384_11_00-000028 PSNR=32.961, SSIM=0.9376 pre_time:0.225s, forward_time:2.03s, post_time:1.17s, total_time:3.42s
